	CourseId	Category	Code	Title	Description	ReviewCount	DocCount
13	13	ACS-UH	2411X	"Heritage, History and Memory in the Modern ""Middle East"""	How do those who live in the Middle East relate to their past(s), and what discourses do they draw on to represent and authorize it today? How is the past recovered, commemorated, embodied, erased, marketed and consumed in the modern Middle East? This course focuses on various thematics of history, heritage, and memory practices: national commemorations and contested sites and events; embodied and gendered memories; invented traditions and structural nostalgia; the problems of writing oral histories; the politics of archaeology; museums and exhibitions; and the construction (and destruction) of tangible, intangible, and world heritage.	0	0
14	14	ACS-UH	2412JX	Interwoven Pasts of Spain and Morocco	At the western end of the Mediterranean, the religious, political, and economic histories of North Africa and Iberia have always been intertwined. This was especially the case during the eight centuries from 711-1492 when various parts of the Iberian Peninsula were ruled over by Muslims. In this course we look both at how what are today Morocco and Spain were connected in this period in both history and imagination, and at how the Spanish colonial presence in Morocco in the 20th century played an important role in the Spanish civil war. The course includes an extended trip through Morocco and Spain.	0	0
15	15	ACS-UH	2413JX	Arab Crossroads in China	(Formerly ACS-AD 205JX)This is a course about overseas Arab communities in an entirely foreign cultural and political setting—China. Arabs came to China to trade and settled there as early as the 9th century. They prospered and had a long and rich history. How did they preserve they culture? In what ways did they change? In this course, we will immerse ourselves in the lives and cultures of the Arab merchant communities that settled in China from the early days of Islam until the early modern period. We will learn about Arab seafaring and trade in the Indian Ocean and the creation of the “Arabian Seas.” We will learn to think like medieval seamen and seawomen. We will read the narratives of Arab merchants such as Suleiman the Merchant and Abu Hassan al-Sirafi who  came to China from the Gulf in the 9th and the 10th centuries. We will also read the rihla travelogue by Abu Abdallah Ibn Battuta who traveled from North Africa to China in the 14th century. We will study the history of the corresponding periods in Chinese history—the Tang, Song, and Yuan and early Ming dynasties. We will also read the narratives of later Arab navigators such as Ahmad ibn al-Majid. To complement the Arab travelogues, we will read the narrative of Ma Huan--the Chinese Muslim who sailed from China to Mecca and other cities in the region in the 15th century. In addition to reading texts, we will study in depth several sites such as Canton (Guangdong), and Quanzhou, better known as Zaytoon (Zayton), the city that was dominated by Arab merchants for several centuries. We will also visit one of the earliest sites of Muslim settlement in China—the small community of Yangzhou, north of Shanghai. We will visit the old mosques in the town and the Arab cemetery. In Shanghai, we will visit the “Friday market” in the Muslim quarter.	0	0
16	16	ACS-UH	2414X	Jews in the Muslim World in the Middle Ages	This course examines the history and culture of the Jews in the medieval Islamic world, beginning with the historiographical debate about this contentious subject. The syllabus moves from the early encounter between Islam and the Jews at the time of the Prophet Muhammad, discussing the Qur’an and other foundational texts, to the legal and actual status of the Jews. We will examine how the famous Cairo Geniza documents illuminate Jewish (and Islamic) life, and how changes in the economy affected developments in Jewish law. The course will also examine the organization and functions of the Jewish community and will address the large question of how much autonomy the Jews actually had. We will also read literary sources showing how deeply influenced the Jews were by Arabic culture. Where relevant, comparisons will be drawn with the situation of the Christian minority in the Islamic world and with that of Jews living in Medieval Latin Europe.	0	0
17	17	ACS-UH	2415JX	History of Modern Iran	(Formerly ACS-AD 207JX)This course will cover major turning points in modern Iran, from the 1906 Constitutional Revolution to the 1979 Islamic Revolution and since. Throughout, we will be focusing on gender, class, ethnic, and religious cleavages. Part I will cover late nineteenth-century religious practices as well as social and gender relations. Part II will explore the role of imperialist powers during the Constitutional Revolution and subsequent politics of oil in the Pahlavi period. Part III will turn to the social, cultural, and economic reasons for the emergence of Islamism. Here we concentrate on the links between Islamist and Leftist intellectual discourses during the 1970s, Khomeini’s appropriation of these discourses during the Islamic Revolution, and the Islamist state’s consolidation of power during the Iran-Iraq war of the 1980s. Part IV will focus on the process whereby, during the 1990s, many leftist Islamists gravitated towards a human rights discourse and declared themselves Muslim Reformists. Here we will give special attention to debates over democratization and human rights, gender/sexuality, and religious/ethnic diversity.	0	0
18	18	ACS-UH	2416JX	Oasis, Coast and Mountain: Landscapes of History and Culture in the UAE and Oman	This course challenges preconceptions of Arabian landscapes as mainly desert by exploring three distinct ecological zones in relation to each other: desert, maritime coast, and mountain chain. How have these zones been constituted naturally and historically, and how they are changing in the present era? Topics include the impacts of human settlement, especially on water resources, inter-regional and global trade, colonization, and urbanization. Finally, we will look at what governments and global institutions have done to address some problems emerging in these zones. Learning will take place through informal lectures, guided tours of key sites, activities such as walking, boating, and swimming to get an embodied sense for these zones, recording through sketching or photography, interviewing various people knowledgeable about the issues at hand, not to mention people affected by their changing surroundings. Daily diary writing is required, along with group discussions with instructors during the day, and a short final reflective paper.	0	0
19	19	ACS-UH	2417	Ottoman Crossroads	Connecting three continents for four centuries, the Ottoman Empire brought locations as far flung as Yemen, Tunisia and Bosnia into the same cultural, legal and economic space.  This course explores the Empire’s legacy in what has come to be known as the Middle East and beyond.  After examining themes in Ottoman history starting in the 13th century through to World War I, we will discuss the Empire’s legacy in the twentieth and twenty-first centuries, revisiting our ideas about nation-states, constructions like the Middle East and the Arab World, and the boundaries between East and West.	0	0
20	20	ACS-UH	2418X	Politics and Cultures of Nationalism in the Modern Middle East	As one of the most influential political ideas that has shaped the modern world nationalism has had a long lasting impact on the history of the modern and contemporary Middle East. Covering the Arab World, Turkey and Iran this course examines nationalist cultures and political experiences across the region in the nineteenth and twentieth centuries, from the Ottoman and Qajar empires to the world of nation states that emerged after the First World War. The development of nationalism is analyzed from a variety of perspectives: as a state practice and idea of imperial reform and nation building; as a powerful social imaginary that mobilized increasing number of people in time and space; and as an ideological and narrative construction of nations as ‘natural’ entities anchored in mythical pasts.  This course places particular emphasis on various ‘entrepreneurs’ of nationalism: imperial, colonial and national governments, bureaucrats, intellectuals, educators, political activists, urban crowds, workers and peasants.	0	0
21	21	ACS-UH	2419X	Sufism	Mysticism is an integral aspect of every religious tradition. In recent years, however, Sufism or Islamic mysticism has often been described as somehow separate from Islam itself. In this course we will investigate the historical origins of Sufism and the nature of the long-standing tension between certain Sufi practices and the Muslim legal establishment. We will also chart the evolution of Sufism from personal spiritual practice and experience to the establishment of mystical brotherhoods in which, depending on time and place, a large portion of Muslim society participated. Finally, we will turn to the continued importance that Sufism has played in the Muslim World (including the Arab Gulf) and the United States during a period in which its practices have come under criticism. Sufi authors examined will include Rumi, al-Hallaj and Ibn al-Arabi.	0	0
22	22	ACS-UH	2610JX	Oil and Energy in the Middle East	This course provides an overview of the issues surrounding global energy supplies, oil’s unique economic properties, and its role in shaping the political economy of the Middle East and U.S. strategic interests in the region. We begin by discussing the basic science and availability of energy sources, the state of technology, the functioning of energy markets, the challenges of coping with global climate change and the key role of the oil reserves in the Middle East. The second part of the course focuses on the history of oil in the Middle East and its impact on societies in the region.	0	0
23	23	ACS-UH	2611X	War and Media in the Middle East	This course examines two simultaneous processes in the Middle East since the mid-20th century: 1) how war has become mediatized, and 2) how media has been militarized. Beginning with the wave of independence and anti-colonial movements in the region, this course will analyze wars and political violence as mediated moments that rely on communicative acts and technologies. Simultaneously, the course will analyze how various media technologies - including radio, film, satellite TV, and internet-are formed through moments of war, conflict, and violence. Through these analyses, students will gain an understanding of the experiences of, conflicts over, and representations of notions such as territory, landscape, body, nation, gender, memory, terror, freedom, and spectacle.	0	0
24	24	ACS-UH	2613X	Youth in the Middle East	Roughly one third of the Middle East population today is between 15 and 29 years old - a demographic “bulge” which has brought Middle Eastern youths at the forefront of media and government concerns both at the regional and global scale. But from the figure of the young jihadist to that of the Arab spring revolutionary, dominant perceptions of these youths often fall into highly polarized archetypes. Moving the focus away from politics and religion, this course explores the everyday worlds of Middle Eastern youths and the complex interactions - with institutions, peers and family members - which characterize their daily lives. By analyzing multiple youth cultures divided along the lines of gender, ethnicity, religious affiliation, or social class, students will address the diversity of Middle Eastern youths and question the universality of age categories. A large space will also be devoted to the voices of Middle Eastern youths themselves, from Egyptian literature and Emirati cinema to Moroccan hip-hop. These cultural productions will allow students to look at the way Arab youths use globalized artistic genres to address regional issues and express their fears, hopes and desires.	0	0
25	25	ACS-UH	3010	Problems and Methods in Arab Crossroads Studies	This seminar introduces students to the main theoretical and epistemological trends in the study of the Arab crossroads region, and offers practical examples of the methodologies used by scholars in the humanities and the qualitative social sciences. We begin with the strengths and weaknesses of area studies, and the politics of producing knowledge on a region of global economic and political importance, then turn to specific areas of research that have attracted attention in the fields of history, anthropology, literature, and politics, before exploring the various methodological approaches used by practitioners of these fields. The course culminates in an extended research proposal for a capstone project.	0	0
26	26	ACS-UH	4000	Arab Crossroads Studies Senior Capstone Seminar	The capstone seminar is designed as a workshop offering graduating seniors a communal environment in which to conceptualize, share and refine a year-long research project, self-designed in consultation with a faculty advisor. In this semester, particular attention will be paid to the organization and practice of research as well as evidence, method and scholarly habit and process. The fall semester culminates in the presentation of significant writing (at least 20 pages/6000 words) toward the final scholarly product, the written and publicly presented capstone. Each student should also be working with their faculty advisor throughout the semester, submitting drafts to their advisor and working with her/him on the research process.	0	0
27	27	ACS-UH	4001	Arab Crossroads Studies Senior Capstone Project	The spring semester of the ACS Senior Capstone is composed of the student working in close consultation with a faculty member on their capstone project. It is expected that the student will meet weekly with their advisor.	0	0
28	28	AFRST-UH	1110J	Interdisciplinary Introduction to African Urban Studies	This course will draw from several disciplines to set out various ways of understanding the African city as both space and archive, with Accra serving as the primary case study. Students will be introduced to key aspects of urban spatial theory and to ways of doing streetside ethnography and nearby history. The course will be structured around a short novel and a play, with references to other African cities such as Lagos, Nairobi, and Johannesburg, among others. There will also be field trips to different parts of Accra, as well as to the Elmina and Cape Coast castles. Ultimately the objective of the course is to equip students with the interpretative and research skills to be able to understand and discuss any cities of their choice in dialogue with the best research in the field and in a lively and sophisticated manner.	0	0
29	29	AH-NH	5100	Postgraduate Practical Training Course	0 credits	0	0
30	30	AHC-UH	1003	Women’s Voices	(Formerly AHC-AD 134)As cultural traditions have for the most part carried the voices of men, this course will consider the question: what can we learn from listening to women? In this course students will listen to a range of women’s voices: novelists and poets, including Emily Dickinson, Adrienne Rich, Virginia Woolf, Toni Morrison, and Arundhati Roy; film-makers, including Shawn Slovo (“A World Apart”) and Haifaa al-Mansour (“Wadjda”); and scholars, including Martha Nussbaum (“The Fragility of Goodness”) and Leila Ahmed (“Border Passage”). Students will be asked to consider how these readings illuminate the human condition or throw light on aspects of human experience that challenge traditional assumptions, including assumptions about women and men.	0	0
31	31	AHC-UH	1004	Reading the Earth: World Literature and the Environment	(Formerly AHC-AD 135)This course introduces students to several genres of literature—drama, the novel, poetry, and the short story—and to some fundamental categories of literary criticism including Marxism, feminism, post-colonial theory, and eco-criticism. Students will examine conceptions of nature and how “the natural” is represented in texts, especially after the explosive growth of industrialization in Victorian England and its subsequent global diffusion. Each unit of the course is constructed around a particular problem that will be contextualized historically through a variety of primary and secondary readings. In an attempt to address a representative range of eco-critical dilemmas, we will examine texts from around the world not only in terms of local and regional issues, but also with an eye towards a more global perspective. In attempting to conceptualize nature and the environment, it has become difficult not to think globally. Thinking about literature is increasingly becoming a parallel kind of exercise and students will be encouraged to explore the connections between a global world of texts and the larger natural environment that both shapes and is, in turn, shaped by them.	0	0
32	32	ANTH-UH	1010	Introduction to Anthropology	This course provides students with a broad overview of the discipline, history, research methods, and selected contemporary issues in the field. The approach taken selects key ethnographies and uses them to explore questions of a methodological, theoretical, and substantive nature. This course is designed to introduce students to anthropological investigation and to facilitate understanding of how the discipline engages with and represents the everyday realities, challenges, and concerns of the people with whom anthropologists work.	0	0
33	33	ANTH-UH	2110J	Anthropology of Indigenous Australia: Art, Politics and Cultural Futures	This course offers an introduction to some current issues in the anthropology of Indigenous Australia, considering a range of Aboriginal forms of social being, ranging historically and geographically and focusing on the changing relationships between Indigenous people and the settler nation of Australia. Students will explore a range of sites of representation and imagination in the expressions of visual art, film, and the performativity of political activism in studying how Aboriginal people have struggled to reproduce themselves and their traditions in their own terms. While those in the dominant society first thought that Aboriginal people and their culture would “die out” and later that they would be simply “assimilated,” the course traces a history of Indigenous people from urban and remote communities intervening on what Stanner called “the great Australian silence” and asserting their right to a cultural future. This includes assessing the contentious history of debates over the very rights of representation of Aboriginal culture and realities. This course makes use of museums in Sydney, and prominent Indigenous scholars and artists will present work relevant to the theme.	0	0
34	34	ANTH-UH	2112J	Cities and Globalization: Buenos Aires and Beyond	This course will examine current transformation apace across Latin American cities involving rapid urbanization, the growth of neoliberal developments and the transformation of creative industries and economies across the region. We will focus on post 1980s transformations when we see new modes of globalization across the region that presented new openings but also constraints in regards to the development of enclave urbanism, new types of segregation and new imaginaries of class and “urban” identities. Throughout, Buenos Aires will provide a case study and laboratory to explore some of these contemporary issues in greater detail. Special attention will be paid to the use of culture in urban development, such as through the rise of urban tourism and the marketing and internationalization of tango. Readings will be drawn from geography, urban studies, anthropology and cultural studies. Our discussion will also be enriched through films, guest speakers, guided tours, and among other exercises geared at enriching students’ appreciation of contemporary Buenos Aires.	0	0
35	35	ANTH-UH	2113	Memoir and Ethnography: Understanding Culture Through First-Person Narrative	Memoir is the best-selling genre in contemporary literature. Indeed, our fascination with all things autobiographical attests to the importance of examining one particular life in order to understand larger issues concerning culture, community, race, gender and even social and global transformations. Narrative Ethnography is also a form of writing which uses the first person pronoun. In this genre, “participant observation” - actually experiencing the beliefs, rituals and life-ways of another culture first hand - is the methodology employed in order to explicitly understand not just the self, but the ‘other’. What are the differences between memoir and ethnography? What kinds of knowledge travel in each? How does writing in the first person challenge other modes of knowledge production? How might memoir and ethnography contribute to our understanding of cultural and cross-cultural dialogue, while providing a post-colonial critique? In this course we examine the rhetorical and aesthetic rules that govern these genres, as well as the way they create social imaginations that go on to live political lives in the world.	0	0
36	36	ANTH-UH	2114X	Listening to Islam	What kinds of knowledge pass through the ear? In this course we understand Islam from the vantage point of aesthetics (from the Greek aisthesthai, to perceive). In particular, we explore sound knowledge – the kind of knowledge that comes through listening. What happens when we listen to Islam? And how does the concept of samaa – spiritual listening – inform the sound worlds of Islam? Examining Sunni and Shi’ite rituals, as well as celebrations, festivals, commemorations and ceremonies, we will read about and experience Islamic forms of expression order to understand the power of aesthetic performance in its local expression and on the global stage.	0	0
37	37	ANTH-UH	2115	Anthropology of Forced Migration	This course explores the lived experiences of exiles, refugees, and forced migrants, through anthropological texts on displacement, encampment, resettlement, asylum, memory, and belonging. It looks at how forced migrant identities are formed and transformed, and at notions of home, and belonging. The class examines interactions between forced migrants, aid agencies, governments and the UNHCR. The course explores each stage of forced migration, the institutions refugees encounter, the factors behind human movement, and the anthropology of social crisis. It also examines processes of flight and displacement in ethnography. We will also study the experience of encampment and its effect on social organizations, memory and identity. The class ex amines critiques of humanitarian assistance, scrutinizing micro-level practices of aid along with concerns regarding the modern state, its obligations, constraints, and approach to citizenship and belonging. The class then addresses asylum, immigration and the anthropology of borders and border crossing. To conclude, the course considers issues of integration and resettlement, examining how people make a new life in a different culture.	0	0
38	38	ANTH-UH	2116	Displacement and Dispossession in the Modern Middle East	Dispossession and forced migration have come to be a defining feature of the contemporary Middle East. Yet involuntary movement of peoples has indelibly marked the region throughout the last 150 years.  This course examines the history of forced migrations through an anthropological lens, engaging with concepts such as: space and place; ethnicity, identity; belonging, nationalism; cosmopolitanism, hybridity, and local conviviality; resilience, and integration. It engages with the forced migrations of the Circassians from the border lands of Imperial Russia, the Armenians, and the Kurds from Anatolia, and Palestinians, Iraqis and Syrians in the Levant.  The course addresses these dispossessions as part of the clash of empire, carried further by the colonial, neo-colonial as well as the contemporary neo-conservative political encounters.   It engages with the ways in which these peoples have developed a local cosmopolitanism and examines whether such local conviviality can survive the current displacement and eviction of peoples from Syria.	0	0
39	39	ANTH-UH	2117J	Migration and Displacement Across the Red Sea	More people have been forcibly displaced today than at any other time since the Second World War. While the majority of this population stems from Syria, Afghanistan, and Somalia, conflicts in several African and Arab nations have contributed to this record number of displaced persons globally. This course will familiarize students with a relatively undocumented migration “crisis” occurring at the borders of the Arabian Peninsula: the displacement of Yemeni refugees and African migrants across the Red Sea. A regional practicum will serve as a case study for exploring (1) the roots and development of this crisis, (2) the centuries’ long interconnections between communities straddling the Red Sea, and (3) the politics and ethics of humanitarian interventions.	0	0
40	40	ANTH-UH	2120	Philosophy and Anthropology Of Ethical Life	Does virtue lie within an ethical tradition or beyond it? What happens when ethical traditions collide? What freedoms do individuals exercise in striving for moral virtue? And how do the claims of others (friends, family, lovers, others) affect such freedoms? These questions have animated critical inquiry in both philosophical and anthropological thought. That is, they have been at the center of reasoned argumentation about ethics in philosophical traditions and a subject of empirical inquiry through ethnographic methods that examine ethical life in particular social settings. This course examines the conversation between philosophy and anthropology on these questions. What have anthropologists found attractive about philosophical concepts? What concepts have proven resilient to anthropological reception? And how can anthropological research be returned to philosophical inquiry? Readings include philosophical texts by Bergson, Cavell, Foucault, Laugier, MacIntyre and Nietzsche; and anthropological texts by Veena Das, James Laidlaw, Cheryl Mattingly, and others, which examine ethical life in India, Chile, Yemen, Iraq, and the United States.	0	0
41	41	ARABL-UH	1110	Elementary Arabic 1	This course is designed for learners with no prior knowledge of Arabic. Students who have studied Arabic before or who have prior knowledge of Arabic are required to take a placement test. This is a full semester (or equivalent session) course during which students first learn the Arabic alphabet, then move on to work on the sentence and paragraph levels. It is an interactive course designed to build the student’s abilities in listening, speaking, reading, and writing. At the end of the semester students should be able to carry on a short conversation; ask and answer questions; introduce themselves and others; provide simple biographical information; interact in simple daily life situations; ask for assistance; express likes and dislikes; read short texts; and gain a basic understanding of Arab culture. Types of tasks and assignments required for this course include daily homework assignments, periodic quizzes, brief presentations, short essay writing, and a final exam.	0	0
42	42	ARABL-UH	1120	Elementary Arabic 2	This course builds on the knowledge and skills that students acquire in Elementary Arabic 1 (ARABL-UH1110) which is a prerequisite course for this class. This is a full semester (or equivalent session) course during which students continue learning formal Arabic ( MSA), expand their knowledge of the grammar, build on previously learnt vocabulary, and be exposed to a variety of cultural and daily life themes and situations. It is an interactive course designed to build the student’s abilities in listening, speaking, reading, and writing. At the end of the semester students should be able to read texts on familiar topics and understand the main ideas; speak about themselves and their environment; carry out basic daily life transactions; and initiate and sustain conversations on a variety of topics. Types of tasks and assignments required for this course include daily homework assignments, periodic quizzes, brief presentations, short essay writing, and a final exam. Students joining the course from outs ide NYU Abu Dhabi are required to take a placement test.	0	0
43	43	ARABL-UH	1130	Arabic Language and Heritage 1	This course is the first in a series of courses meant for students who come from Arabic-speaking families and who grew up in an Arabic-speaking environment but have not had sufficient training in Arabic. These courses are designed to help those students master formal Arabic language skills and empower them, as citizens, to become more engaged in their society, culture, and heritage. The series achieves this goal by reactivating the students’ acquired but dormant knowledge of their native tongue even as it provides new accessible and relevant instruction in the language.	0	0
44	44	ARABL-UH	2110	Intermediate Arabic 1	This course builds on the knowledge and skills that students acquire in Elementary Arabic 2 This course builds on the knowledge and skills that students acquire in Elementary Arabic 2 (ARABL-UH 1120) which is a prerequisite course for this class. Students joining the course from outside NYU Abu Dhabi are required to take a placement test. This is a full semester (or equivalent session) course during which students continue learning the modern standard form of the language, with limited exposure to phrases and expressions in colloquial. It is a student-centered course where the four language skills (reading, writing, listening and speaking) are integrated along with culture to simulate real life situations. By the end of this course, students should be able to narrate in all verb tenses, describe their daily life, personal relations, and report information. Types of tasks and assignments required include daily homework assignments, periodic quizzes, presentations, essays, and a final exam.	0	0
45	45	ARABL-UH	2120	Intermediate Arabic 2	This course builds on the knowledge and skills that students acquire in Intermediate Arabic 1 which is a prerequisite course for this class. Students joining the course from outside NYU Abu Dhabi are required to take a placement test. This is a full semester (or equivalent session) course during which students continue learning the modern standard form of the language, with limited exposure to phrases and expressions in colloquial. It is a student-centered course where the four language skills (reading, writing, listening and speaking) are integrated along with culture to simulate real life situations. At the end of the semester students should be able to read and understand the main ideas of authentic texts written for the general public. They will be able to employ analytical reading and critical thinking skills to understand different types of text. Types of tasks and assignments required for this course include daily homework assignments, periodic quizzes, presentations, short essay writing, and a final exam.	0	0
46	46	ARABL-UH	2130	Arabic Language and Heritage 2	This course is the second in the Arabic Language and Heritage series designed for native learners of Arabic. A prerequisite for this course is Arabic Language and Heritage 1 (ARABL-UH1130) or an equivalent proficiency level as determined through a placement test. This is a full semester course (or equivalent session) during which students work on mastering formal Arabic language skills to empower them to become more engaged in their society, culture, and heritage. In ALH 2, students build on their previously acquired listening, speaking, reading, and writing skills to perfect their knowledge of Arabic vocabulary and syntax. By the end of this course, students should be able to produce longer argumentative pieces; will begin to access, assess and taste so me of Arabic’s key modern literary and cultural products; and will continue to debate and explore various aspects of Arab culture. Types of tasks and assignments required for this course include daily homework assignments, periodic quizzes, presentations, essay writing, and a final exam.	0	0
